faiss_position,venue_id,faiss_text
0,d3068ce4-da78-41f6-9184-c6bf5dacac85,maze specialty coffee al barsha south 1 desserts coffee cafe low
1,56f201bf-d7b7-4f25-bc70-06c63fcb7506,loca jumeirah bar mexican mexican high
2,34e582b3-2162-4468-af17-bbe4039f1667,baofriend dubai silicon oasis (dso) arabic breakfast asian low
3,b84bcdfb-bc23-4aa2-8ef3-916816a8bca3,mayabay umm suqeim asian chinese japanese high
4,4ccfe9bf-d54d-43bc-85e2-2589ba44d867,doner deli al garhoud fastfood sandwiches arabic medium
5,6626203d-a923-4a98-8cec-b7a7255e2158,common grounds palm jumeirah sandwiches beverages breakfast medium
6,7aa2132a-6246-4a7a-a8bc-a97e46567222,waffle and crepe dubai silicon oasis (dso) beverages desserts breakfast low
7,b9e3fa78-f488-4114-a7bc-8492e19f3932,the crossing trade centre indian grills indian high
8,8dd01cc2-db95-4375-bc76-1a7cf13641f9,caribou coffee al quoz industrial area 1 sandwiches breakfast cafe low
9,e6afc967-a59b-4512-a0ce-cae748102f4b,riwaayat dubai silicon oasis (dso) indian indian pakistani medium
10,04d51c9d-af72-489b-8274-f8f195487b22,majama healthy ice cream treats al barsha south 3 desserts desserts healthy medium
11,2c002e99-cc71-48bb-a162-75a2d406c249,massaad bbq restaurant dubai silicon oasis (dso) beverages arabic arabic medium
12,699f0af5-5318-43e5-b7d0-f044df7f69d2,kaiso sushi by leen's umm suqeim japanese japanese medium
13,70cf994b-7f0a-46bb-a321-61bda2fe62eb,punjab grill business bay indian american grills high
14,ad874a80-ddd1-4f09-96d5-64d576bf567a,c box al barsha 1 sandwiches seafood cafe medium
15,49973d03-48ce-4055-a5cb-1ea9a0b28b12,saravana bhavan oud metha fastfood indian beverages low
16,65a4b258-30ff-4260-af80-284dccd4f2a9,genatsvale georgian restaurant palm jumeirah caucasian medium
17,6876752a-6f0d-42a4-9ba5-b8ccfdf32dab,highway street cafe restaurant al nahda 1 indian breakfast fastfood low
18,9200af99-e3c0-4843-b817-dd79750a879e,beirut blendz umm suqeim desserts beverages desserts medium
